destination,mode,time,region,type,Total,EJ,Non-EJ,Ratio Aggregation Area,Ratio MPO
"Healthcare, non-emergency",Bike,60,Developing Suburbs: Maturing New England Towns,"Minority status, adult",NA,1.802,1.924,0.937,1.515
"Healthcare, non-emergency",Bike,60,Developing Suburbs: Maturing New England Towns,Minority status,NA,1.858,1.936,0.96,1.526
"Healthcare, non-emergency",Bike,60,Developing Suburbs: Maturing New England Towns,"Income status, adult",NA,1.774,1.928,0.92,1.413
"Healthcare, non-emergency",Bike,60,Developing Suburbs: Maturing New England Towns,Income status,NA,1.745,1.948,0.896,1.427
"Healthcare, non-emergency",Bike,60,Developing Suburbs: Maturing New England Towns,Household vehicles,NA,1.8,1.909,0.943,1.968
"Healthcare, non-emergency",Drive,15,Developing Suburbs: Maturing New England Towns,"Total population, adult",1.592,NA,NA,NA,NA
"Healthcare, non-emergency",Drive,15,Developing Suburbs: Maturing New England Towns,Total population,1.595,NA,NA,NA,NA
"Healthcare, non-emergency",Drive,15,Developing Suburbs: Maturing New England Towns,Total households,1.57,NA,NA,NA,NA
"Healthcare, non-emergency",Drive,15,Developing Suburbs: Maturing New England Towns,"Minority status, adult",NA,1.52,1.601,0.949,1.525
"Healthcare, non-emergency",Drive,15,Developing Suburbs: Maturing New England Towns,Minority status,NA,1.536,1.604,0.958,1.536
"Healthcare, non-emergency",Drive,15,Developing Suburbs: Maturing New England Towns,"Income status, adult",NA,1.492,1.605,0.93,1.526
"Healthcare, non-emergency",Drive,15,Developing Suburbs: Maturing New England Towns,Income status,NA,1.455,1.612,0.903,1.541
"Healthcare, non-emergency",Drive,15,Developing Suburbs: Maturing New England Towns,Household vehicles,NA,1.474,1.574,0.937,2.232
"Healthcare, non-emergency",Drive,30,Developing Suburbs: Maturing New England Towns,"Total population, adult",10.452,NA,NA,NA,NA
"Healthcare, non-emergency",Drive,30,Developing Suburbs: Maturing New England Towns,Total population,10.51,NA,NA,NA,NA
"Healthcare, non-emergency",Drive,30,Developing Suburbs: Maturing New England Towns,Total households,10.328,NA,NA,NA,NA
"Healthcare, non-emergency",Drive,30,Developing Suburbs: Maturing New England Towns,"Minority status, adult",NA,10.022,10.504,0.954,1.423
"Healthcare, non-emergency",Drive,30,Developing Suburbs: Maturing New England Towns,Minority status,NA,10.013,10.58,0.946,1.433
"Healthcare, non-emergency",Drive,30,Developing Suburbs: Maturing New England Towns,"Income status, adult",NA,9.788,10.535,0.929,1.329
"Healthcare, non-emergency",Drive,30,Developing Suburbs: Maturing New England Towns,Income status,NA,9.808,10.595,0.926,1.346
"Healthcare, non-emergency",Drive,30,Developing Suburbs: Maturing New England Towns,Household vehicles,NA,9.424,10.362,0.909,1.708
"Healthcare, non-emergency",Drive,45,Developing Suburbs: Maturing New England Towns,"Total population, adult",35.119,NA,NA,NA,NA
"Healthcare, non-emergency",Drive,45,Developing Suburbs: Maturing New England Towns,Total population,35.198,NA,NA,NA,NA
"Healthcare, non-emergency",Drive,45,Developing Suburbs: Maturing New England Towns,Total households,34.54,NA,NA,NA,NA
"Healthcare, non-emergency",Drive,45,Developing Suburbs: Maturing New England Towns,"Minority status, adult",NA,36.152,34.994,1.033,1.262
"Healthcare, non-emergency",Drive,45,Developing Suburbs: Maturing New England Towns,Minority status,NA,35.522,35.152,1.011,1.265
"Healthcare, non-emergency",Drive,45,Developing Suburbs: Maturing New England Towns,"Income status, adult",NA,32.992,35.385,0.932,1.176
"Healthcare, non-emergency",Drive,45,Developing Suburbs: Maturing New England Towns,Income status,NA,33.13,35.447,0.935,1.181
"Healthcare, non-emergency",Drive,45,Developing Suburbs: Maturing New England Towns,Household vehicles,NA,32.017,34.636,0.924,1.369
"Healthcare, non-emergency",Drive,60,Developing Suburbs: Maturing New England Towns,"Total population, adult",83.897,NA,NA,NA,NA
"Healthcare, non-emergency",Drive,60,Developing Suburbs: Maturing New England Towns,Total population,83.895,NA,NA,NA,NA
"Healthcare, non-emergency",Drive,60,Developing Suburbs: Maturing New England Towns,Total households,83.02,NA,NA,NA,NA
"Healthcare, non-emergency",Drive,60,Developing Suburbs: Maturing New England Towns,"Minority status, adult",NA,88.205,83.375,1.058,1.151
"Healthcare, non-emergency",Drive,60,Developing Suburbs: Maturing New England Towns,Minority status,NA,86.597,83.517,1.037,1.153
"Healthcare, non-emergency",Drive,60,Developing Suburbs: Maturing New England Towns,"Income status, adult",NA,83.38,83.961,0.993,1.086
"Healthcare, non-emergency",Drive,60,Developing Suburbs: Maturing New England Towns,Income status,NA,83.909,83.893,1,1.089
"Healthcare, non-emergency",Drive,60,Developing Suburbs: Maturing New England Towns,Household vehicles,NA,80.392,83.12,0.967,1.178
"Healthcare, non-emergency",Transit (All modes),15,Developing Suburbs: Maturing New England Towns,"Total population, adult",0.036,NA,NA,NA,NA
"Healthcare, non-emergency",Transit (All modes),15,Developing Suburbs: Maturing New England Towns,Total population,0.035,NA,NA,NA,NA
"Healthcare, non-emergency",Transit (All modes),15,Developing Suburbs: Maturing New England Towns,Total households,0.037,NA,NA,NA,NA
"Healthcare, non-emergency",Transit (All modes),15,Developing Suburbs: Maturing New England Towns,"Minority status, adult",NA,0.033,0.036,0.905,1.899
"Healthcare, non-emergency",Transit (All modes),15,Developing Suburbs: Maturing New England Towns,Minority status,NA,0.032,0.036,0.894,1.958
"Healthcare, non-emergency",Transit (All modes),15,Developing Suburbs: Maturing New England Towns,"Income status, adult",NA,0.049,0.034,1.465,1.826
"Healthcare, non-emergency",Transit (All modes),15,Developing Suburbs: Maturing New England Towns,Income status,NA,0.048,0.034,1.439,1.887
"Healthcare, non-emergency",Transit (All modes),15,Developing Suburbs: Maturing New England Towns,Household vehicles,NA,0.045,0.037,1.227,2.819
"Healthcare, non-emergency",Transit (All modes),30,Developing Suburbs: Maturing New England Towns,"Total population, adult",0.165,NA,NA,NA,NA
"Healthcare, non-emergency",Transit (All modes),30,Developing Suburbs: Maturing New England Towns,Total population,0.164,NA,NA,NA,NA
"Healthcare, non-emergency",Transit (All modes),30,Developing Suburbs: Maturing New England Towns,Total households,0.168,NA,NA,NA,NA
"Healthcare, non-emergency",Transit (All modes),30,Developing Suburbs: Maturing New England Towns,"Minority status, adult",NA,0.162,0.165,0.978,1.778
"Healthcare, non-emergency",Transit (All modes),30,Developing Suburbs: Maturing New England Towns,Minority status,NA,0.163,0.164,0.994,1.817
"Healthcare, non-emergency",Transit (All modes),30,Developing Suburbs: Maturing New England Towns,"Income status, adult",NA,0.2,0.161,1.246,1.766
"Healthcare, non-emergency",Transit (All modes),30,Developing Suburbs: Maturing New England Towns,Income status,NA,0.197,0.16,1.234,1.803
"Healthcare, non-emergency",Transit (All modes),30,Developing Suburbs: Maturing New England Towns,Household vehicles,NA,0.196,0.167,1.17,2.858
"Healthcare, non-emergency",Transit (All modes),45,Developing Suburbs: Maturing New England Towns,"Total population, adult",0.272,NA,NA,NA,NA
"Healthcare, non-emergency",Transit (All modes),45,Developing Suburbs: Maturing New England Towns,Total population,0.273,NA,NA,NA,NA
"Healthcare, non-emergency",Transit (All modes),45,Developing Suburbs: Maturing New England Towns,Total households,0.276,NA,NA,NA,NA
"Healthcare, non-emergency",Transit (All modes),45,Developing Suburbs: Maturing New England Towns,"Minority status, adult",NA,0.291,0.27,1.081,1.734
"Healthcare, non-emergency",Transit (All modes),45,Developing Suburbs: Maturing New England Towns,Minority status,NA,0.29,0.27,1.075,1.765
"Healthcare, non-emergency",Transit (All modes),45,Developing Suburbs: Maturing New England Towns,"Income status, adult",NA,0.29,0.27,1.073,1.655
"Healthcare, non-emergency",Transit (All modes),45,Developing Suburbs: Maturing New England Towns,Income status,NA,0.3,0.269,1.115,1.692
"Healthcare, non-emergency",Transit (All modes),45,Developing Suburbs: Maturing New England Towns,Household vehicles,NA,0.29,0.275,1.054,2.618
"Healthcare, non-emergency",Transit (All modes),60,Developing Suburbs: Maturing New England Towns,"Total population, adult",0.581,NA,NA,NA,NA
"Healthcare, non-emergency",Transit (All modes),60,Developing Suburbs: Maturing New England Towns,Total population,0.583,NA,NA,NA,NA
"Healthcare, non-emergency",Transit (All modes),60,Developing Suburbs: Maturing New England Towns,Total households,0.59,NA,NA,NA,NA
"Healthcare, non-emergency",Transit (All modes),60,Developing Suburbs: Maturing New England Towns,"Minority status, adult",NA,0.633,0.574,1.102,1.669
"Healthcare, non-emergency",Transit (All modes),60,Developing Suburbs: Maturing New England Towns,Minority status,NA,0.625,0.577,1.082,1.696
"Healthcare, non-emergency",Transit (All modes),60,Developing Suburbs: Maturing New England Towns,"Income status, adult",NA,0.577,0.581,0.993,1.526
"Healthcare, non-emergency",Transit (All modes),60,Developing Suburbs: Maturing New England Towns,Income status,NA,0.611,0.58,1.054,1.563
"Healthcare, non-emergency",Transit (All modes),60,Developing Suburbs: Maturing New England Towns,Household vehicles,NA,0.608,0.589,1.033,2.185
"Healthcare, non-emergency",Transit (Bus and RT only),15,Developing Suburbs: Maturing New England Towns,"Total population, adult",0.036,NA,NA,NA,NA
"Healthcare, non-emergency",Transit (Bus and RT only),15,Developing Suburbs: Maturing New England Towns,Total population,0.035,NA,NA,NA,NA
"Healthcare, non-emergency",Transit (Bus and RT only),15,Developing Suburbs: Maturing New England Towns,Total households,0.037,NA,NA,NA,NA
"Healthcare, non-emergency",Transit (Bus and RT only),15,Developing Suburbs: Maturing New England Towns,"Minority status, adult",NA,0.033,0.036,0.905,1.899
"Healthcare, non-emergency",Transit (Bus and RT only),15,Developing Suburbs: Maturing New England Towns,Minority status,NA,0.032,0.036,0.894,1.958
"Healthcare, non-emergency",Transit (Bus and RT only),15,Developing Suburbs: Maturing New England Towns,"Income status, adult",NA,0.049,0.034,1.465,1.822
"Healthcare, non-emergency",Transit (Bus and RT only),15,Developing Suburbs: Maturing New England Towns,Income status,NA,0.048,0.034,1.439,1.884
"Healthcare, non-emergency",Transit (Bus and RT only),15,Developing Suburbs: Maturing New England Towns,Household vehicles,NA,0.045,0.037,1.227,2.818
"Healthcare, non-emergency",Transit (Bus and RT only),30,Developing Suburbs: Maturing New England Towns,"Total population, adult",0.165,NA,NA,NA,NA
"Healthcare, non-emergency",Transit (Bus and RT only),30,Developing Suburbs: Maturing New England Towns,Total population,0.164,NA,NA,NA,NA
"Healthcare, non-emergency",Transit (Bus and RT only),30,Developing Suburbs: Maturing New England Towns,Total households,0.168,NA,NA,NA,NA
"Healthcare, non-emergency",Transit (Bus and RT only),30,Developing Suburbs: Maturing New England Towns,"Minority status, adult",NA,0.161,0.165,0.978,1.779
"Healthcare, non-emergency",Transit (Bus and RT only),30,Developing Suburbs: Maturing New England Towns,Minority status,NA,0.163,0.164,0.995,1.817
"Healthcare, non-emergency",Transit (Bus and RT only),30,Developing Suburbs: Maturing New England Towns,"Income status, adult",NA,0.2,0.16,1.247,1.767
"Healthcare, non-emergency",Transit (Bus and RT only),30,Developing Suburbs: Maturing New England Towns,Income status,NA,0.197,0.16,1.235,1.804
"Healthcare, non-emergency",Transit (Bus and RT only),30,Developing Suburbs: Maturing New England Towns,Household vehicles,NA,0.196,0.167,1.171,2.859
"Healthcare, non-emergency",Transit (Bus and RT only),45,Developing Suburbs: Maturing New England Towns,"Total population, adult",0.268,NA,NA,NA,NA
"Healthcare, non-emergency",Transit (Bus and RT only),45,Developing Suburbs: Maturing New England Towns,Total population,0.268,NA,NA,NA,NA
"Healthcare, non-emergency",Transit (Bus and RT only),45,Developing Suburbs: Maturing New England Towns,Total households,0.272,NA,NA,NA,NA
"Healthcare, non-emergency",Transit (Bus and RT only),45,Developing Suburbs: Maturing New England Towns,"Minority status, adult",NA,0.286,0.266,1.076,1.725
"Healthcare, non-emergency",Transit (Bus and RT only),45,Developing Suburbs: Maturing New England Towns,Minority status,NA,0.285,0.266,1.071,1.755
"Healthcare, non-emergency",Transit (Bus and RT only),45,Developing Suburbs: Maturing New England Towns,"Income status, adult",NA,0.285,0.266,1.074,1.655
"Healthcare, non-emergency",Transit (Bus and RT only),45,Developing Suburbs: Maturing New England Towns,Income status,NA,0.295,0.265,1.113,1.69
"Healthcare, non-emergency",Transit (Bus and RT only),45,Developing Suburbs: Maturing New England Towns,Household vehicles,NA,0.287,0.271,1.058,2.63
"Healthcare, non-emergency",Transit (Bus and RT only),60,Developing Suburbs: Maturing New England Towns,"Total population, adult",0.515,NA,NA,NA,NA
"Healthcare, non-emergency",Transit (Bus and RT only),60,Developing Suburbs: Maturing New England Towns,Total population,0.519,NA,NA,NA,NA
"Healthcare, non-emergency",Transit (Bus and RT only),60,Developing Suburbs: Maturing New England Towns,Total households,0.521,NA,NA,NA,NA
"Healthcare, non-emergency",Transit (Bus and RT only),60,Developing Suburbs: Maturing New England Towns,"Minority status, adult",NA,0.577,0.507,1.137,1.672
"Healthcare, non-emergency",Transit (Bus and RT only),60,Developing Suburbs: Maturing New England Towns,Minority status,NA,0.572,0.512,1.118,1.699
"Healthcare, non-emergency",Transit (Bus and RT only),60,Developing Suburbs: Maturing New England Towns,"Income status, adult",NA,0.498,0.517,0.964,1.536
"Healthcare, non-emergency",Transit (Bus and RT only),60,Developing Suburbs: Maturing New England Towns,Income status,NA,0.534,0.518,1.031,1.573
"Healthcare, non-emergency",Transit (Bus and RT only),60,Developing Suburbs: Maturing New England Towns,Household vehicles,NA,0.504,0.522,0.966,2.219
"Healthcare, non-emergency",Walk,15,Developing Suburbs: Maturing New England Towns,"Total population, adult",0.036,NA,NA,NA,NA
"Healthcare, non-emergency",Walk,15,Developing Suburbs: Maturing New England Towns,Total population,0.035,NA,NA,NA,NA
"Healthcare, non-emergency",Walk,15,Developing Suburbs: Maturing New England Towns,Total households,0.037,NA,NA,NA,NA
"Healthcare, non-emergency",Walk,15,Developing Suburbs: Maturing New England Towns,"Minority status, adult",NA,0.033,0.036,0.905,1.904
"Healthcare, non-emergency",Walk,15,Developing Suburbs: Maturing New England Towns,Minority status,NA,0.032,0.036,0.894,1.967
"Healthcare, non-emergency",Walk,15,Developing Suburbs: Maturing New England Towns,"Income status, adult",NA,0.049,0.034,1.465,1.806
"Healthcare, non-emergency",Walk,15,Developing Suburbs: Maturing New England Towns,Income status,NA,0.048,0.034,1.439,1.873
"Healthcare, non-emergency",Walk,15,Developing Suburbs: Maturing New England Towns,Household vehicles,NA,0.045,0.037,1.227,2.757
"Healthcare, non-emergency",Walk,30,Developing Suburbs: Maturing New England Towns,"Total population, adult",0.149,NA,NA,NA,NA
"Healthcare, non-emergency",Walk,30,Developing Suburbs: Maturing New England Towns,Total population,0.148,NA,NA,NA,NA
"Healthcare, non-emergency",Walk,30,Developing Suburbs: Maturing New England Towns,Total households,0.153,NA,NA,NA,NA
"Healthcare, non-emergency",Walk,30,Developing Suburbs: Maturing New England Towns,"Minority status, adult",NA,0.142,0.15,0.947,1.825
"Healthcare, non-emergency",Walk,30,Developing Suburbs: Maturing New England Towns,Minority status,NA,0.144,0.148,0.971,1.877
"Healthcare, non-emergency",Walk,30,Developing Suburbs: Maturing New England Towns,"Income status, adult",NA,0.188,0.144,1.3,1.777
"Healthcare, non-emergency",Walk,30,Developing Suburbs: Maturing New England Towns,Income status,NA,0.183,0.144,1.273,1.825
"Healthcare, non-emergency",Walk,30,Developing Suburbs: Maturing New England Towns,Household vehicles,NA,0.182,0.152,1.203,2.685
"Healthcare, non-emergency",Walk,45,Developing Suburbs: Maturing New England Towns,"Total population, adult",0.327,NA,NA,NA,NA
"Healthcare, non-emergency",Walk,45,Developing Suburbs: Maturing New England Towns,Total population,0.325,NA,NA,NA,NA
"Healthcare, non-emergency",Walk,45,Developing Suburbs: Maturing New England Towns,Total households,0.331,NA,NA,NA,NA
"Healthcare, non-emergency",Walk,45,Developing Suburbs: Maturing New England Towns,"Minority status, adult",NA,0.328,0.327,1.002,1.753
"Healthcare, non-emergency",Walk,45,Developing Suburbs: Maturing New England Towns,Minority status,NA,0.334,0.324,1.034,1.791
"Healthcare, non-emergency",Walk,45,Developing Suburbs: Maturing New England Towns,"Income status, adult",NA,0.375,0.321,1.169,1.707
"Healthcare, non-emergency",Walk,45,Developing Suburbs: Maturing New England Towns,Income status,NA,0.367,0.32,1.147,1.749
"Healthcare, non-emergency",Walk,45,Developing Suburbs: Maturing New England Towns,Household vehicles,NA,0.374,0.33,1.135,2.548
"Healthcare, non-emergency",Walk,60,Developing Suburbs: Maturing New England Towns,"Total population, adult",0.562,NA,NA,NA,NA
"Healthcare, non-emergency",Walk,60,Developing Suburbs: Maturing New England Towns,Total population,0.56,NA,NA,NA,NA
"Healthcare, non-emergency",Walk,60,Developing Suburbs: Maturing New England Towns,Total households,0.559,NA,NA,NA,NA
"Healthcare, non-emergency",Walk,60,Developing Suburbs: Maturing New England Towns,"Minority status, adult",NA,0.56,0.562,0.996,1.684
"Healthcare, non-emergency",Walk,60,Developing Suburbs: Maturing New England Towns,Minority status,NA,0.565,0.559,1.011,1.709
"Healthcare, non-emergency",Walk,60,Developing Suburbs: Maturing New England Towns,"Income status, adult",NA,0.588,0.558,1.052,1.656
"Healthcare, non-emergency",Walk,60,Developing Suburbs: Maturing New England Towns,Income status,NA,0.578,0.558,1.035,1.687
"Healthcare, non-emergency",Walk,60,Developing Suburbs: Maturing New England Towns,Household vehicles,NA,0.599,0.558,1.073,2.48
"Healthcare, non-emergency",Bike,15,Inner Core: Streetcar Suburbs,"Total population, adult",2.194,NA,NA,NA,NA
"Healthcare, non-emergency",Bike,15,Inner Core: Streetcar Suburbs,Total population,2.148,NA,NA,NA,NA
"Healthcare, non-emergency",Bike,15,Inner Core: Streetcar Suburbs,Total households,2.29,NA,NA,NA,NA
"Healthcare, non-emergency",Bike,15,Inner Core: Streetcar Suburbs,"Minority status, adult",NA,2.514,2.08,1.209,1.932
"Healthcare, non-emergency",Bike,15,Inner Core: Streetcar Suburbs,Minority status,NA,2.407,2.045,1.177,1.989
"Healthcare, non-emergency",Bike,15,Inner Core: Streetcar Suburbs,"Income status, adult",NA,2.855,2.073,1.377,1.772
"Healthcare, non-emergency",Bike,15,Inner Core: Streetcar Suburbs,Income status,NA,2.792,2.033,1.373,1.827
"Healthcare, non-emergency",Bike,15,Inner Core: Streetcar Suburbs,Household vehicles,NA,4.774,1.956,2.441,2.611
"Healthcare, non-emergency",Bike,30,Inner Core: Streetcar Suburbs,"Total population, adult",12.482,NA,NA,NA,NA
"Healthcare, non-emergency",Bike,30,Inner Core: Streetcar Suburbs,Total population,12.259,NA,NA,NA,NA
"Healthcare, non-emergency",Bike,30,Inner Core: Streetcar Suburbs,Total households,12.874,NA,NA,NA,NA
"Healthcare, non-emergency",Bike,30,Inner Core: Streetcar Suburbs,"Minority status, adult",NA,14.109,11.901,1.186,1.745
"Healthcare, non-emergency",Bike,30,Inner Core: Streetcar Suburbs,Minority status,NA,13.537,11.75,1.152,1.775
"Healthcare, non-emergency",Bike,30,Inner Core: Streetcar Suburbs,"Income status, adult",NA,15.34,11.96,1.283,1.666
"Healthcare, non-emergency",Bike,30,Inner Core: Streetcar Suburbs,Income status,NA,15.093,11.755,1.284,1.698
"Healthcare, non-emergency",Bike,30,Inner Core: Streetcar Suburbs,Household vehicles,NA,23.951,11.383,2.104,2.508
"Healthcare, non-emergency",Bike,45,Inner Core: Streetcar Suburbs,"Total population, adult",33.764,NA,NA,NA,NA
"Healthcare, non-emergency",Bike,45,Inner Core: Streetcar Suburbs,Total population,33.457,NA,NA,NA,NA
"Healthcare, non-emergency",Bike,45,Inner Core: Streetcar Suburbs,Total households,34.683,NA,NA,NA,NA
"Healthcare, non-emergency",Bike,45,Inner Core: Streetcar Suburbs,"Minority status, adult",NA,36.44,32.81,1.111,1.601
"Healthcare, non-emergency",Bike,45,Inner Core: Streetcar Suburbs,Minority status,NA,35.513,32.637,1.088,1.615
"Healthcare, non-emergency",Bike,45,Inner Core: Streetcar Suburbs,"Income status, adult",NA,37.488,33.085,1.133,1.537
"Healthcare, non-emergency",Bike,45,Inner Core: Streetcar Suburbs,Income status,NA,36.951,32.835,1.125,1.551
"Healthcare, non-emergency",Bike,45,Inner Core: Streetcar Suburbs,Household vehicles,NA,56.169,31.791,1.767,2.261
"Healthcare, non-emergency",Bike,60,Inner Core: Streetcar Suburbs,"Total population, adult",59.865,NA,NA,NA,NA
"Healthcare, non-emergency",Bike,60,Inner Core: Streetcar Suburbs,Total population,59.525,NA,NA,NA,NA
"Healthcare, non-emergency",Bike,60,Inner Core: Streetcar Suburbs,Total households,60.525,NA,NA,NA,NA
"Healthcare, non-emergency",Bike,60,Inner Core: Streetcar Suburbs,"Minority status, adult",NA,62.614,58.883,1.063,1.515
"Healthcare, non-emergency",Bike,60,Inner Core: Streetcar Suburbs,Minority status,NA,61.677,58.667,1.051,1.526
"Healthcare, non-emergency",Bike,60,Inner Core: Streetcar Suburbs,"Income status, adult",NA,62.634,59.359,1.055,1.413
"Healthcare, non-emergency",Bike,60,Inner Core: Streetcar Suburbs,Income status,NA,62.149,59.058,1.052,1.427
"Healthcare, non-emergency",Bike,60,Inner Core: Streetcar Suburbs,Household vehicles,NA,79.613,57.955,1.374,1.968
"Healthcare, non-emergency",Drive,15,Inner Core: Streetcar Suburbs,"Total population, adult",9.149,NA,NA,NA,NA
"Healthcare, non-emergency",Drive,15,Inner Core: Streetcar Suburbs,Total population,8.993,NA,NA,NA,NA
"Healthcare, non-emergency",Drive,15,Inner Core: Streetcar Suburbs,Total households,9.242,NA,NA,NA,NA
"Healthcare, non-emergency",Drive,15,Inner Core: Streetcar Suburbs,"Minority status, adult",NA,10.235,8.761,1.168,1.525
"Healthcare, non-emergency",Drive,15,Inner Core: Streetcar Suburbs,Minority status,NA,9.91,8.627,1.149,1.536
"Healthcare, non-emergency",Drive,15,Inner Core: Streetcar Suburbs,"Income status, adult",NA,10.973,8.816,1.245,1.526
"Healthcare, non-emergency",Drive,15,Inner Core: Streetcar Suburbs,Income status,NA,10.831,8.665,1.25,1.541
"Healthcare, non-emergency",Drive,15,Inner Core: Streetcar Suburbs,Household vehicles,NA,14.074,8.592,1.638,2.232
"Healthcare, non-emergency",Drive,30,Inner Core: Streetcar Suburbs,"Total population, adult",94.385,NA,NA,NA,NA
"Healthcare, non-emergency",Drive,30,Inner Core: Streetcar Suburbs,Total population,94.03,NA,NA,NA,NA
"Healthcare, non-emergency",Drive,30,Inner Core: Streetcar Suburbs,Total households,94.826,NA,NA,NA,NA
"Healthcare, non-emergency",Drive,30,Inner Core: Streetcar Suburbs,"Minority status, adult",NA,96.973,93.463,1.038,1.423
"Healthcare, non-emergency",Drive,30,Inner Core: Streetcar Suburbs,Minority status,NA,96.208,93.163,1.033,1.433
"Healthcare, non-emergency",Drive,30,Inner Core: Streetcar Suburbs,"Income status, adult",NA,97.124,93.886,1.034,1.329
"Healthcare, non-emergency",Drive,30,Inner Core: Streetcar Suburbs,Income status,NA,96.77,93.543,1.034,1.346
"Healthcare, non-emergency",Drive,30,Inner Core: Streetcar Suburbs,Household vehicles,NA,109.73,92.821,1.182,1.708
"Healthcare, non-emergency",Drive,45,Inner Core: Streetcar Suburbs,"Total population, adult",209.524,NA,NA,NA,NA
"Healthcare, non-emergency",Drive,45,Inner Core: Streetcar Suburbs,Total population,209.257,NA,NA,NA,NA
"Healthcare, non-emergency",Drive,45,Inner Core: Streetcar Suburbs,Total households,209.379,NA,NA,NA,NA
"Healthcare, non-emergency",Drive,45,Inner Core: Streetcar Suburbs,"Minority status, adult",NA,211.727,208.739,1.014,1.262
"Healthcare, non-emergency",Drive,45,Inner Core: Streetcar Suburbs,Minority status,NA,211.389,208.408,1.014,1.265
"Healthcare, non-emergency",Drive,45,Inner Core: Streetcar Suburbs,"Income status, adult",NA,211.187,209.221,1.009,1.176
"Healthcare, non-emergency",Drive,45,Inner Core: Streetcar Suburbs,Income status,NA,211.198,208.912,1.011,1.181
"Healthcare, non-emergency",Drive,45,Inner Core: Streetcar Suburbs,Household vehicles,NA,213.037,208.888,1.02,1.369
"Healthcare, non-emergency",Drive,60,Inner Core: Streetcar Suburbs,"Total population, adult",258.722,NA,NA,NA,NA
"Healthcare, non-emergency",Drive,60,Inner Core: Streetcar Suburbs,Total population,258.648,NA,NA,NA,NA
"Healthcare, non-emergency",Drive,60,Inner Core: Streetcar Suburbs,Total households,258.5,NA,NA,NA,NA
"Healthcare, non-emergency",Drive,60,Inner Core: Streetcar Suburbs,"Minority status, adult",NA,259.939,258.288,1.006,1.151
