name,alias,details
delt_nhwhp,Percent change in White population,Percent change in White population since 2000 (percent of tract population); ACS 2014-2018 5-year estimates and U.S. Decennial Census 2010; Overlay variable
dltnhaamep,Percent change in Black population MOE,Percent change in Black population since 2000 margin of error; ACS 2014-2018 5-year estimates and U.S. Decennial Census 2010; Overlay variable
dltnhasmep,Percent change in Asian population MOE,Percent change in Asian population since 2000 margin of error; ACS 2014-2018 5-year estimates and U.S. Decennial Census 2010; Overlay variable
dltlatmep,Percent change in Latinx population MOE,Percent change in Latinx population since 2000 margin of error; ACS 2014-2018 5-year estimates and U.S. Decennial Census 2010; Overlay variable
dltnhwhmep,Percent change in White population MOE,Percent change in White population since 2000 margin of error; ACS 2014-2018 5-year estimates and U.S. Decennial Census 2010; Overlay variable
fb,Foreign Born Population,Population born outside the United States and territories; ACS 2014-2018 5-year estimates; Overlay variable
fb_me,Foreign Born Population MOE,Population born outside the United States and territories margin of error; ACS 2014-2018 5-year estimates; Overlay variable
noncit,Non-Citizen Population,Population that are not United States citizens; ACS 2014-2018 5-year estimates; Overlay variable
noncit_me,Non-Citizen Population MOE,Population that are not United States citizens margin of error; ACS 2014-2018 5-year estimates; Overlay variable
fb_p,Percent Foreign Born,Percent of population born outside the United States and territories; ACS 2014-2018 5-year estimates; Overlay variable
fb_mep,Percent Foreign Born MOE,Percent of population born outside the United States and territories margin of error; ACS 2014-2018 5-year estimates; Overlay variable
noncit_p,Percent Non-Citizens,Percent of population that are not United States citizens; ACS 2014-2018 5-year estimates; Overlay variable
noncit_mep,Percent Non-Citizens MOE,Percent of population that are not United States citizens margin of error; ACS 2014-2018 5-year estimates; Overlay variable
enlim,Limited-English Speakers,Population speaking English not well and population speaking English not at all; ACS 2014-2018 5-year estimates; Overlay variable
enlim_me,Limited-English Speakers MOE,Population speaking English not well and population speaking English not at all margin of error; ACS 2014-2018 5-year estimates; Overlay variable
enlim_p,Percent Limited-English Speakers,Percent of population speaking English not well or not at all; ACS 2014-2018 5-year estimates; Overlay variable
enlim_mep,Percent Limited-English Speakers MOE,Percent of population speaking English not well or not at all margin of error; ACS 2014-2018 5-year estimates; Overlay variable
hh,Number of households,Number of households; ACS 2014-2018 5-year estimates; Overlay variable
hh_me,Number of households MOE,Number of households; ACS 2014-2018 5-year estimates margin of error; Overlay variable
hhkids,Households with kids,Households with kids under 18; ACS 2014-2018 5-year estimates; Overlay variable
hhkidsme,Households with kids MOE,Households with kids under 18 margin of error; ACS 2014-2018 5-year estimates; Overlay variable
hhkids_p,Percent of households with kids,Percent of households with kids under 18; ACS 2014-2018 5-year estimates; Overlay variable
hhkidsmep,Percent of households with kids MOE,Percent of households with kids under 18 margin of error; ACS 2014-2018 5-year estimates; Overlay variable
hh65o,Households with someone 65 or older,Households with one or more member 65 or over; ACS 2014-2018 5-year estimates; Overlay variable
hh65osme,Households with someone 65 or older MOE,Households with one or more member 65 or over margin of error; ACS 2014-2018 5-year estimates; Overlay variable
hh65o_p,Percent of households with someone 65 or older,Percent of households with one or more member 65 or over; ACS 2014-2018 5-year estimates; Overlay variable
hh65osmep,Percent of households with someone 65 or older MOE,Percent of households with one or more member 65 or over margin of error; ACS 2014-2018 5-year estimates; Overlay variable
mth_achv,Math achievement score,MCAS math achievement scores for 3rd graders; Department of Elementary and Secondary Education 2019; Overlay variable
mth_grwth,Math achievement growth,MCAS math achievement score growth from 3rd to 8th grade; Department of Elementary and Secondary Education 2019; Overlay variable
ela_achv,ELA achievement score,MCAS math achievement scores for 3rd graders; Department of Elementary and Secondary Education 2019; Overlay variable
ela_grwth,ELA achievement growth,MCAS English and language arts achievement score growth from 3rd to 8th grade; Department of Elementary and Secondary Education 2019; Overlay variable
bapl,Population holding a Bachelors plus,Population holding a Bachelors degree or higher; ACS 2014-2018 5-year estimates; Overlay variable
bapl_me,Population holding a Bachelors plus MOE,Population holding a Bachelors degree or higher margin of error; ACS 2014-2018 5-year estimates; Overlay variable
bapl_p,Percent holding a Bachelors plus,Percent of population holding a Bachelors degree or higher; ACS 2014-2018 5-year estimates; Overlay variable
bapl_mep,Percent holding a Bachelors plus MOE,Percent of population holding a Bachelors degree or higher margin of error; 2014-2018 5-year estimates; Overlay variable
delt_bapl,Change in population with Bachelors plus since 2006-2010,Change in population holding a Bachelors degree or higher since 2006-2010 ; ACS 2014-2018 5-year estimates and ACS 2006-2010 5-year estimates; Overlay variable
deltbaplme,Change in population with Bachelors plus since 2006-2010 MOE,Change in population holding a Bachelors degree or higher since 2006-2010 margin of error; ACS 2014-2018 5-year estimates and ACS 2006-2010 5-year estimates; Overlay variable
delt_baplp,Percent change Bachelors plus,Change in population holding a Bachelors degree or higher since 2006-2010 (percent of tract population); ACS 2014-2018 5-year estimates and ACS 2006-2010 5-year estimates; Overlay variable
deltbplmep,Percent change Bachelors plus MOE,Change in population holding a Bachelors degree or higher since 2006-2010 (percent of tract population) margin of error; ACS 2014-2018 5-year estimates and ACS 2006-2010 5-year estimates; Overlay variable
jobs45trn,Mean jobs in 45 minutes by transit,Population-weighted average number of jobs accessible by transit across census 2010 blocks in tract; University of Minnesota Accessibility Observatory 2017; Overlay variable
unemp,Population unemployed,Population unemployed; ACS 2014-2018 5-year estimates; Overlay variable
unemp_me,Population unemployed MOE,Population unemployed margin of error; ACS 2014-2018 5-year estimates; Overlay variable
unemp_p,Percent unemployed,Percent of population unemployed; ACS 2014-2018 5-year estimates; Overlay variable
unemp_mep,Percent unemployed MOE,Percent of population unemployed; ACS 2014-2018 5-year estimates margin of error; Overlay variable
cb_50,Severely cost burdened,Households paying more than 50% of income for housing; ACS 2014-2018 5-year estimates; Overlay variable
cb_50_me,Severely cost burdened MOE,Households paying more than 50% of income for housing margin of error; ACS 2014-2018 5-year estimates; Overlay variable
cb_50_p,Percent severely cost burdened,Percent of households paying more than 50% of income for housing; ACS 2014-2018 5-year estimates; Overlay variable
cb_50_mep,Percent severely cost burdened MOE,Percent of households paying more than 50% of income for housing margin of error; ACS 2014-2018 5-year estimates; Overlay variable
sfha_p,Share of homes in 1% SFHA,Share of homes in 1% SFHA; MAPC 2019 and FEMA 2017; Overlay variable
surge41_p,Storm surge flooding 3.39 ft SLR,Share of homes with 1% + annual chance of storm surge flooding 3.39 ft SLR; MassDOT and MAPC 2019; Overlay variable
surge8_p,Storm surge flooding 8 in SLR,Share of homes with 1% + annual chance of storm surge flooding 8in SLR; MassDOT and MAPC 2019; Overlay variable
dgrunits,Heat island temperature increase (F),Average home's surface heat island temperature increase (F); USGS and MAPC 2019; Overlay variable
holcna_pct,No HOLC grade percent,Share of tract area without known HOLC grade; University of Richmond Digital Scholarship Lab 2020; Overlay variable
holca_pct,HOLC grade A percent,Share of tract area in HOLC grade A; University of Richmond Digital Scholarship Lab 2020; Overlay variable
holcb_pct,HOLC grade B percent,Share of tract area in HOLC grade B; University of Richmond Digital Scholarship Lab 2020; Overlay variable
holcc_pct,HOLC grade C percent,Share of tract area in HOLC grade C; University of Richmond Digital Scholarship Lab 2020; Overlay variable
holcd_pct,HOLC grade D percent,Share of tract area in HOLC grade D; University of Richmond Digital Scholarship Lab 2020; Overlay variable
